ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,tick,timestamp,news_news_id,news_period,news_tick,news_ticker,news_headline,news_body
RITC,10.07,10.07,10.09,201400.0,203700.0,243,2026-02-02 22:52:34.024150,1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!
COMP,25.3,25.23,25.3,141500.0,69900.0,243,2026-02-02 22:52:34.024150,,,,,,
RITC,10.07,10.07,10.09,201400.0,203700.0,244,2026-02-02 22:52:34.738955
COMP,25.32,25.23,25.32,141500.0,69400.0,244,2026-02-02 22:52:34.738955
RITC,10.07,10.07,10.09,203100.0,203700.0,245,2026-02-02 22:52:35.271642
COMP,25.32,25.26,25.32,141100.0,69400.0,245,2026-02-02 22:52:35.271642
RITC,10.07,10.07,10.09,202100.0,203700.0,246,2026-02-02 22:52:36.318943
COMP,25.34,25.26,25.34,141100.0,70700.0,246,2026-02-02 22:52:36.318943
RITC,10.11,10.07,10.11,202100.0,201500.0,247,2026-02-02 22:52:37.349440
COMP,25.34,25.27,25.34,140400.0,70700.0,247,2026-02-02 22:52:37.349440
RITC,10.06,10.06,10.11,200800.0,202800.0,248,2026-02-02 22:52:38.386048
COMP,25.34,25.31,25.34,141500.0,70700.0,248,2026-02-02 22:52:38.386048
RITC,10.06,10.06,10.1,201100.0,205000.0,249,2026-02-02 22:52:39.441039
COMP,25.37,25.31,25.37,142500.0,71300.0,249,2026-02-02 22:52:39.441039
RITC,10.06,10.06,10.08,201400.0,205000.0,250,2026-02-02 22:52:40.470043
COMP,25.45,25.31,25.45,142500.0,70900.0,250,2026-02-02 22:52:40.470043
RITC,10.08,10.06,10.08,203200.0,205000.0,251,2026-02-02 22:52:41.618073
COMP,25.45,25.31,25.45,141900.0,78500.0,251,2026-02-02 22:52:41.618073
RITC,10.1,10.06,10.1,200300.0,205000.0,252,2026-02-02 22:52:42.768668
COMP,25.45,25.31,25.4,141900.0,78500.0,252,2026-02-02 22:52:42.768668
RITC,10.11,10.06,10.11,200300.0,204500.0,253,2026-02-02 22:52:43.808137
COMP,25.45,25.38,25.4,140400.0,78500.0,253,2026-02-02 22:52:43.808137
RITC,10.06,10.06,10.11,201500.0,204500.0,254,2026-02-02 22:52:44.378474
COMP,25.45,25.38,25.4,140600.0,78500.0,254,2026-02-02 22:52:44.378474
RITC,10.11,10.06,10.11,201500.0,205900.0,255,2026-02-02 22:52:45.467463
COMP,25.45,25.38,25.4,142200.0,78500.0,255,2026-02-02 22:52:45.467463
RITC,10.06,10.06,10.11,200300.0,203100.0,256,2026-02-02 22:52:46.719686
COMP,25.4,25.38,25.4,141700.0,78500.0,256,2026-02-02 22:52:46.719686
RITC,10.06,10.08,10.11,203500.0,203100.0,257,2026-02-02 22:52:47.451957
COMP,25.4,25.43,25.45,139400.0,70900.0,257,2026-02-02 22:52:47.451957
RITC,10.06,10.09,10.11,204000.0,203100.0,258,2026-02-02 22:52:48.499601
COMP,25.47,25.46,25.47,137400.0,72000.0,258,2026-02-02 22:52:48.499601
RITC,10.06,10.09,10.11,202300.0,204100.0,259,2026-02-02 22:52:49.700582
COMP,25.48,25.46,25.48,137400.0,69700.0,259,2026-02-02 22:52:49.700582
RITC,10.11,10.09,10.11,202300.0,204300.0,260,2026-02-02 22:52:50.753473
COMP,25.49,25.46,25.49,137400.0,67500.0,260,2026-02-02 22:52:50.753473
RITC,10.09,10.09,10.11,202300.0,204500.0,261,2026-02-02 22:52:51.818011
COMP,25.49,25.46,25.49,135300.0,67500.0,261,2026-02-02 22:52:51.818011
RITC,10.11,10.09,10.11,203500.0,204800.0,262,2026-02-02 22:52:52.849323
COMP,25.49,25.46,25.49,137000.0,67500.0,262,2026-02-02 22:52:52.849323
RITC,10.11,10.09,10.11,203700.0,204800.0,263,2026-02-02 22:52:53.395098
COMP,25.49,25.46,25.49,135200.0,67500.0,263,2026-02-02 22:52:53.395098
RITC,10.12,10.09,10.12,203700.0,203800.0,264,2026-02-02 22:52:54.450983
COMP,25.5,25.54,25.56,134400.0,67000.0,264,2026-02-02 22:52:54.450983
RITC,10.12,10.09,10.12,205000.0,206200.0,265,2026-02-02 22:52:55.483289
COMP,25.56,25.54,25.56,134400.0,67000.0,265,2026-02-02 22:52:55.483289
RITC,10.12,10.09,10.12,205000.0,206200.0,266,2026-02-02 22:52:56.526646
COMP,25.3,25.56,25.67,134000.0,67500.0,266,2026-02-02 22:52:56.526646
RITC,10.12,10.09,10.12,202700.0,203700.0,267,2026-02-02 22:52:57.582159
COMP,25.3,25.56,25.61,134000.0,75000.0,267,2026-02-02 22:52:57.582159
RITC,10.12,10.09,10.12,203500.0,203700.0,268,2026-02-02 22:52:58.627773
COMP,25.67,25.65,25.67,134400.0,67500.0,268,2026-02-02 22:52:58.627773
RITC,10.12,10.09,10.12,202900.0,203500.0,269,2026-02-02 22:52:59.677059
COMP,25.65,25.57,25.64,133900.0,75400.0,269,2026-02-02 22:52:59.677059
RITC,10.12,10.11,10.12,197700.0,203500.0,270,2026-02-02 22:53:00.811131
COMP,25.64,25.57,25.64,133900.0,75400.0,270,2026-02-02 22:53:00.811131
RITC,10.12,10.11,10.12,202000.0,203500.0,271,2026-02-02 22:53:01.997760
COMP,25.64,25.57,25.64,133400.0,75400.0,271,2026-02-02 22:53:01.997760
RITC,10.12,10.11,10.12,201700.0,203500.0,272,2026-02-02 22:53:02.608917
COMP,25.57,25.57,25.64,135000.0,75400.0,272,2026-02-02 22:53:02.608917
RITC,10.12,10.11,10.12,203800.0,203500.0,,273,2026-02-02 22:53:03.640812
COMP,25.56,25.58,25.67,134900.0,67500.0,15000.0,273,2026-02-02 22:53:03.640812
RITC,10.12,10.11,10.12,203800.0,202300.0,,274,2026-02-02 22:53:04.684848
COMP,25.56,25.58,25.67,134600.0,67500.0,15000.0,274,2026-02-02 22:53:04.684848
RITC,10.13,10.11,10.13,203800.0,194000.0,,275,2026-02-02 22:53:05.715619
COMP,25.67,25.64,25.67,135000.0,67500.0,15000.0,275,2026-02-02 22:53:05.715619
RITC,10.13,10.12,10.13,202600.0,194000.0,,276,2026-02-02 22:53:06.751079
COMP,25.67,25.64,25.67,135000.0,73200.0,15000.0,276,2026-02-02 22:53:06.751079
RITC,10.13,10.12,10.13,204500.0,174100.0,,277,2026-02-02 22:53:07.801714
COMP,25.64,25.64,25.67,135000.0,65500.0,15000.0,277,2026-02-02 22:53:07.801714
RITC,10.13,10.12,10.13,202800.0,174100.0,0,278,2026-02-02 22:53:08.862645
COMP,25.56,25.56,25.6,134400.0,72000.0,0,278,2026-02-02 22:53:08.862645
RITC,10.13,10.12,10.13,203000.0,185100.0,0,279,2026-02-02 22:53:09.915459
COMP,25.6,25.61,25.68,134400.0,65500.0,0,279,2026-02-02 22:53:09.915459
RITC,10.13,10.13,10.14,207000.0,163900.0,0,280,2026-02-02 22:53:10.966971
COMP,25.6,25.62,25.68,133800.0,65500.0,0,280,2026-02-02 22:53:10.966971
RITC,10.14,10.13,10.14,207000.0,163900.0,0,281,2026-02-02 22:53:11.550986
COMP,25.73,25.62,25.73,133800.0,67200.0,0,281,2026-02-02 22:53:11.550986
RITC,10.14,10.13,10.14,205400.0,163900.0,0,282,2026-02-02 22:53:12.725875
COMP,25.73,25.67,25.73,131800.0,67200.0,0,282,2026-02-02 22:53:12.725875
RITC,10.15,10.13,10.15,203700.0,141100.0,0,283,2026-02-02 22:53:13.976338
COMP,25.67,25.62,25.66,133800.0,81100.0,0,283,2026-02-02 22:53:13.976338
RITC,10.15,10.15,10.16,201600.0,131400.0,0,284,2026-02-02 22:53:14.520026
COMP,25.67,25.62,25.66,133700.0,81100.0,0,284,2026-02-02 22:53:14.520026
RITC,10.16,10.15,10.16,200900.0,131400.0,0,285,2026-02-02 22:53:15.581883
COMP,25.67,25.62,25.66,133700.0,87100.0,0,285,2026-02-02 22:53:15.581883
RITC,10.16,10.15,10.16,201300.0,120100.0,0,286,2026-02-02 22:53:16.666687
COMP,25.72,25.72,25.73,134600.0,74200.0,0,286,2026-02-02 22:53:16.666687
RITC,10.16,10.16,10.17,203200.0,108300.0,0,287,2026-02-02 22:53:17.783167
COMP,25.72,25.67,25.72,134100.0,82100.0,0,287,2026-02-02 22:53:17.783167
RITC,10.17,10.16,10.17,201800.0,99200.0,0,288,2026-02-02 22:53:18.814388
COMP,25.72,25.67,25.72,134100.0,89900.0,0,288,2026-02-02 22:53:18.814388
RITC,10.19,10.16,10.19,201800.0,99500.0,0,289,2026-02-02 22:53:19.848555
COMP,25.74,25.67,25.69,134100.0,83800.0,0,289,2026-02-02 22:53:19.848555
RITC,10.19,10.16,10.19,202900.0,99500.0,0,290,2026-02-02 22:53:20.893286
COMP,25.74,25.67,25.69,134100.0,89300.0,0,290,2026-02-02 22:53:20.893286
RITC,10.19,10.18,10.19,203700.0,99700.0,0,291,2026-02-02 22:53:21.935408
COMP,25.74,25.67,25.69,134100.0,95000.0,0,291,2026-02-02 22:53:21.935408
RITC,10.19,10.18,10.19,200400.0,99700.0,0,292,2026-02-02 22:53:22.978955
COMP,25.74,25.67,25.69,133100.0,102100.0,0,292,2026-02-02 22:53:22.978955
RITC,10.19,10.18,10.19,200400.0,99100.0,0,293,2026-02-02 22:53:23.571018
COMP,25.67,25.62,25.66,132600.0,110100.0,0,293,2026-02-02 22:53:23.571018
RITC,10.19,10.19,10.21,198300.0,102100.0,0,294,2026-02-02 22:53:24.615440
COMP,25.67,25.64,25.66,133800.0,110100.0,0,294,2026-02-02 22:53:24.615440
RITC,10.21,10.19,10.21,197000.0,102100.0,0,295,2026-02-02 22:53:25.650572
COMP,25.67,25.64,25.65,133800.0,116100.0,0,295,2026-02-02 22:53:25.650572
RITC,10.23,10.21,10.23,194500.0,99800.0,0,296,2026-02-02 22:53:26.727460
COMP,25.67,25.64,25.65,134900.0,123300.0,0,296,2026-02-02 22:53:26.727460
RITC,10.23,10.25,10.26,192000.0,99700.0,0,297,2026-02-02 22:53:27.757002
COMP,25.66,25.66,25.67,135800.0,109300.0,0,297,2026-02-02 22:53:27.757002
RITC,10.26,10.25,10.26,192300.0,99700.0,0,298,2026-02-02 22:53:28.784970
COMP,25.66,25.66,25.67,134300.0,109300.0,0,298,2026-02-02 22:53:28.784970
RITC,10.26,10.25,10.26,192300.0,98100.0,0,299,2026-02-02 22:53:29.811531
COMP,25.69,25.66,25.69,135000.0,102100.0,0,299,2026-02-02 22:53:29.811531
RITC,10.27,10.28,10.3,194600.0,99000.0,0,300,2026-02-02 22:53:30.847974
COMP,25.64,25.64,25.69,135500.0,109700.0,0,300,2026-02-02 22:53:30.847974
RITC,10.27,10.29,10.3,196100.0,99000.0,0,301,2026-02-02 22:53:31.877539
COMP,25.64,25.66,25.69,135100.0,109700.0,0,301,2026-02-02 22:53:31.877539
RITC,10.32,10.29,10.32,196500.0,99000.0,0,302,2026-02-02 22:53:32.907862
COMP,25.66,25.66,25.69,135100.0,109700.0,0,302,2026-02-02 22:53:32.907862
RITC,10.32,10.32,10.36,194100.0,97200.0,0,303,2026-02-02 22:53:33.941568
COMP,25.66,25.66,25.69,136300.0,109700.0,0,303,2026-02-02 22:53:33.941568
RITC,10.36,10.35,10.36,195600.0,97200.0,0,304,2026-02-02 22:53:34.970485
COMP,25.64,25.64,25.69,134200.0,117400.0,0,304,2026-02-02 22:53:34.970485
RITC,10.37,10.37,10.4,195700.0,94200.0,0,305,2026-02-02 22:53:36.002616
COMP,25.64,25.64,25.69,134200.0,117400.0,0,305,2026-02-02 22:53:36.002616
RITC,10.4,10.38,10.4,195200.0,94200.0,0,306,2026-02-02 22:53:37.041618
COMP,25.69,25.66,25.69,134600.0,109300.0,0,306,2026-02-02 22:53:37.041618
RITC,10.4,10.39,10.4,191900.0,94200.0,0,307,2026-02-02 22:53:38.111418
COMP,25.69,25.66,25.69,134600.0,116700.0,0,307,2026-02-02 22:53:38.111418
RITC,10.4,10.4,10.41,193500.0,93900.0,0,308,2026-02-02 22:53:38.697330
COMP,25.69,25.66,25.69,135900.0,116700.0,0,308,2026-02-02 22:53:38.697330
RITC,10.45,10.42,10.45,193000.0,95100.0,0,309,2026-02-02 22:53:39.725759
COMP,25.69,25.66,25.69,137900.0,116700.0,0,309,2026-02-02 22:53:39.725759
RITC,10.45,10.42,10.45,192000.0,105700.0,0,310,2026-02-02 22:53:40.762274
COMP,25.71,25.66,25.71,137900.0,109600.0,0,310,2026-02-02 22:53:40.762274
RITC,10.45,10.42,10.45,192000.0,107400.0,0,311,2026-02-02 22:53:41.798866
COMP,25.72,25.68,25.72,137800.0,101900.0,0,311,2026-02-02 22:53:41.798866
RITC,10.42,10.4,10.41,192900.0,116600.0,0,312,2026-02-02 22:53:42.837266
COMP,25.72,25.69,25.72,135600.0,101900.0,0,312,2026-02-02 22:53:42.837266
RITC,10.45,10.45,10.46,195200.0,96800.0,0,313,2026-02-02 22:53:43.862386
COMP,25.66,25.66,25.72,137900.0,101900.0,0,313,2026-02-02 22:53:43.862386
RITC,10.45,10.45,10.46,193900.0,96800.0,0,314,2026-02-02 22:53:44.890489
COMP,25.66,25.66,25.72,137900.0,107800.0,0,314,2026-02-02 22:53:44.890489
RITC,10.46,10.47,10.49,194700.0,94500.0,0,315,2026-02-02 22:53:45.918516
COMP,25.64,25.64,25.72,136300.0,107800.0,0,315,2026-02-02 22:53:45.918516
RITC,10.47,10.46,10.47,194600.0,105900.0,10000.0,316,2026-02-02 22:53:46.943689
COMP,25.64,25.66,25.72,136400.0,107800.0,,316,2026-02-02 22:53:46.943689
RITC,10.49,10.46,10.49,194600.0,94500.0,0,317,2026-02-02 22:53:47.968133
COMP,25.64,25.68,25.71,137100.0,114300.0,0,317,2026-02-02 22:53:47.968133
RITC,10.49,10.46,10.49,193100.0,94500.0,10000.0,318,2026-02-02 22:53:49.000217
COMP,25.68,25.68,25.71,137100.0,114300.0,,318,2026-02-02 22:53:49.000217
RITC,10.49,10.49,10.52,191100.0,95200.0,0,319,2026-02-02 22:53:50.030679
COMP,25.68,25.68,25.69,137100.0,128500.0,0,319,2026-02-02 22:53:50.030679
RITC,10.53,10.49,10.52,191100.0,94400.0,10000.0,320,2026-02-02 22:53:50.701608
COMP,25.66,25.66,25.69,136400.0,128500.0,,320,2026-02-02 22:53:50.701608
RITC,10.53,10.5,10.52,192700.0,94400.0,10000.0,321,2026-02-02 22:53:51.726944
COMP,25.66,25.66,25.69,136400.0,135600.0,,321,2026-02-02 22:53:51.726944
RITC,10.53,10.5,10.53,192700.0,95200.0,0,322,2026-02-02 22:53:52.769367
COMP,25.66,25.66,25.67,136400.0,135200.0,0,322,2026-02-02 22:53:52.769367
RITC,10.54,10.5,10.54,192700.0,95700.0,0,323,2026-02-02 22:53:53.894087
COMP,25.63,25.63,25.67,133800.0,135200.0,0,323,2026-02-02 22:53:53.894087
RITC,10.54,10.54,10.57,191900.0,92200.0,0,324,2026-02-02 22:53:55.059339
COMP,25.63,25.63,25.64,135000.0,136800.0,0,324,2026-02-02 22:53:55.059339
RITC,10.6,10.57,10.6,192000.0,91900.0,0,325,2026-02-02 22:53:56.109806
COMP,25.62,25.62,25.64,134500.0,136500.0,0,325,2026-02-02 22:53:56.109806
RITC,10.6,10.6,10.62,192000.0,89300.0,0,326,2026-02-02 22:53:57.156930
COMP,25.67,25.62,25.67,134500.0,135100.0,0,326,2026-02-02 22:53:57.156930
RITC,10.6,10.61,10.62,190700.0,89300.0,0,327,2026-02-02 22:53:57.795450
COMP,25.67,25.62,25.67,134500.0,135000.0,0,327,2026-02-02 22:53:57.795450
RITC,10.62,10.61,10.62,192200.0,99400.0,0,328,2026-02-02 22:53:58.840071
COMP,25.62,25.62,25.69,133400.0,134500.0,0,328,2026-02-02 22:53:58.840071
RITC,10.63,10.61,10.63,192400.0,88700.0,0,329,2026-02-02 22:53:59.865959
COMP,25.62,25.62,25.69,133400.0,135800.0,0,329,2026-02-02 22:53:59.865959
RITC,10.69,10.62,10.69,193600.0,90700.0,0,330,2026-02-02 22:54:00.895640
COMP,25.62,25.61,25.62,133100.0,136200.0,0,330,2026-02-02 22:54:00.895640
RITC,10.69,10.68,10.69,193300.0,90700.0,0,331,2026-02-02 22:54:01.940957
COMP,25.59,25.59,25.62,135500.0,136200.0,0,331,2026-02-02 22:54:01.940957
RITC,10.71,10.7,10.71,189900.0,90700.0,0,332,2026-02-02 22:54:03.003885
COMP,25.58,25.58,25.62,137000.0,136400.0,0,332,2026-02-02 22:54:03.003885
RITC,10.71,10.7,10.71,190600.0,90700.0,0,333,2026-02-02 22:54:04.033485
COMP,25.57,25.57,25.62,135800.0,136400.0,0,333,2026-02-02 22:54:04.033485
RITC,10.71,10.7,10.71,190600.0,101700.0,0,334,2026-02-02 22:54:05.062322
COMP,25.57,25.61,25.62,135400.0,136400.0,0,334,2026-02-02 22:54:05.062322
RITC,10.71,10.7,10.71,188800.0,93800.0,0,335,2026-02-02 22:54:06.098277
COMP,25.62,25.62,25.63,134600.0,138300.0,0,335,2026-02-02 22:54:06.098277
RITC,10.7,10.7,10.71,192000.0,93800.0,0,336,2026-02-02 22:54:07.123615
COMP,25.61,25.61,25.63,135400.0,138300.0,0,336,2026-02-02 22:54:07.123615
RITC,10.73,10.71,10.73,189200.0,93800.0,0,337,2026-02-02 22:54:08.162542
COMP,25.61,25.61,25.63,135400.0,136400.0,0,337,2026-02-02 22:54:08.162542
RITC,10.73,10.74,10.75,189900.0,100500.0,0,338,2026-02-02 22:54:09.233702
COMP,25.57,25.57,25.63,135800.0,136400.0,0,338,2026-02-02 22:54:09.233702
RITC,10.73,10.74,10.75,189700.0,100500.0,0,339,2026-02-02 22:54:09.777793
COMP,25.57,25.57,25.63,135800.0,134900.0,0,339,2026-02-02 22:54:09.777793
RITC,10.75,10.75,10.77,189200.0,102000.0,0,340,2026-02-02 22:54:10.818250
COMP,25.57,25.57,25.61,135800.0,133800.0,0,340,2026-02-02 22:54:10.818250
RITC,10.75,10.74,10.75,189700.0,112600.0,0,341,2026-02-02 22:54:11.867353
COMP,25.57,25.52,25.57,136600.0,134700.0,0,341,2026-02-02 22:54:11.867353
RITC,10.75,10.74,10.75,188500.0,120300.0,0,342,2026-02-02 22:54:13.074343
COMP,25.52,25.46,25.52,136500.0,134400.0,0,342,2026-02-02 22:54:13.074343
RITC,10.74,10.74,10.75,188600.0,120300.0,0,343,2026-02-02 22:54:14.186749
COMP,25.46,25.46,25.52,136900.0,134400.0,0,343,2026-02-02 22:54:14.186749
RITC,10.77,10.74,10.77,189500.0,109700.0,0,344,2026-02-02 22:54:15.219435
COMP,25.46,25.46,25.47,136900.0,132500.0,0,344,2026-02-02 22:54:15.219435
RITC,10.77,10.74,10.77,192300.0,109700.0,10000.0,345,2026-02-02 22:54:16.246112
COMP,25.46,25.46,25.47,136900.0,132200.0,,345,2026-02-02 22:54:16.246112
RITC,10.74,10.73,10.74,190400.0,129200.0,10000.0,346,2026-02-02 22:54:16.841266
COMP,25.46,25.46,25.47,136900.0,132200.0,,346,2026-02-02 22:54:16.841266
RITC,10.73,10.73,10.74,189600.0,129200.0,0,347,2026-02-02 22:54:17.999494
COMP,25.46,25.46,25.47,136900.0,130900.0,0,347,2026-02-02 22:54:17.999494
RITC,10.72,10.72,10.74,190300.0,129200.0,0,348,2026-02-02 22:54:19.190047
COMP,25.46,25.46,25.47,136900.0,132900.0,0,348,2026-02-02 22:54:19.190047
RITC,10.72,10.72,10.74,190300.0,137500.0,0,349,2026-02-02 22:54:19.864895
COMP,25.46,25.46,25.47,136900.0,133500.0,0,349,2026-02-02 22:54:19.864895
RITC,10.71,10.73,10.75,188300.0,127400.0,0,350,2026-02-02 22:54:20.953214
COMP,25.47,25.46,25.47,136900.0,134500.0,0,350,2026-02-02 22:54:20.953214
RITC,10.76,10.75,10.76,187500.0,119100.0,0,351,2026-02-02 22:54:22.058945
COMP,25.45,25.45,25.47,137600.0,134500.0,0,351,2026-02-02 22:54:22.058945
RITC,10.76,10.75,10.76,189800.0,119100.0,0,352,2026-02-02 22:54:23.091348
COMP,25.45,25.45,25.47,137600.0,133800.0,0,352,2026-02-02 22:54:23.091348
RITC,10.76,10.76,10.77,192300.0,109700.0,0,353,2026-02-02 22:54:24.123549
COMP,25.45,25.45,25.47,137700.0,133800.0,0,353,2026-02-02 22:54:24.123549
RITC,10.76,10.76,10.77,190700.0,109700.0,0,354,2026-02-02 22:54:25.150541
COMP,25.45,25.45,25.47,139700.0,133800.0,0,354,2026-02-02 22:54:25.150541
RITC,10.76,10.76,10.77,188600.0,109700.0,0,355,2026-02-02 22:54:26.184965
COMP,25.45,25.45,25.47,138500.0,133800.0,0,355,2026-02-02 22:54:26.184965
RITC,10.77,10.76,10.77,189200.0,99100.0,0,356,2026-02-02 22:54:27.218616
COMP,25.45,25.45,25.46,138500.0,135200.0,0,356,2026-02-02 22:54:27.218616
RITC,10.77,10.76,10.77,191200.0,99100.0,0,357,2026-02-02 22:54:28.254664
COMP,25.45,25.45,25.46,136800.0,135300.0,0,357,2026-02-02 22:54:28.254664
RITC,10.83,10.76,10.83,191200.0,91300.0,0,358,2026-02-02 22:54:29.284475
COMP,25.43,25.43,25.46,136800.0,135300.0,0,358,2026-02-02 22:54:29.284475
RITC,10.83,10.82,10.83,193100.0,91300.0,0,359,2026-02-02 22:54:30.324282
COMP,25.42,25.42,25.46,138400.0,135400.0,0,359,2026-02-02 22:54:30.324282
RITC,10.84,10.82,10.85,190800.0,91900.0,0,360,2026-02-02 22:54:31.371325
COMP,25.42,25.42,25.46,139000.0,135100.0,0,360,2026-02-02 22:54:31.371325
RITC,10.85,10.82,10.85,190800.0,91900.0,0,361,2026-02-02 22:54:31.903940
COMP,25.42,25.42,25.46,139000.0,135100.0,0,361,2026-02-02 22:54:31.903940
RITC,10.87,10.88,10.9,188700.0,92900.0,0,362,2026-02-02 22:54:32.984753
